cv	end	hash	start	dataset	estimator	estimator	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results	results
fold				name	call	name	fit_time	score_time	test_accuracy	test_f1_macro	test_f1_micro	test_f1_samples	test_f1_weighted	test_jaccard_macro	test_jaccard_micro	test_jaccard_samples	test_jaccard_weighted	test_precision_macro	test_precision_micro	test_precision_samples	test_precision_weighted	test_recall_macro	test_recall_micro	test_recall_samples	test_recall_weighted
0	2023-09-05 19:44:14.886175	e16e76dc94a71adb62962e94f115cb885effc592e2dfe903251ac1f33280a961	2023-09-05 19:42:52.793205	medical	estimators.cascade_weak_label_tree_embedder_pvalue	embedding_weak_chi2	77.42255759239197	3.8352999687194824	0.19387755102040816	0.1055561243926895	0.3856209150326798	0.24914965986394555	0.2911498170445539	0.07722431077694235	0.2388663967611336	0.22448979591836735	0.23425925925925928	0.20402609086819612	0.7283950617283951	0.26445578231292516	0.4311547958214625	0.09206786963306543	0.26222222222222225	0.2593537414965986	0.26222222222222225
1	2023-09-05 19:44:14.886175	e16e76dc94a71adb62962e94f115cb885effc592e2dfe903251ac1f33280a961	2023-09-05 19:42:52.793205	medical	estimators.cascade_weak_label_tree_embedder_pvalue	embedding_weak_chi2	75.49670267105103	4.106920480728149	0.18877551020408162	0.08971448228414174	0.36678200692041524	0.22704081632653061	0.26294175487304067	0.06713604185903355	0.2245762711864407	0.20578231292517005	0.2204691300522693	0.15585839598997495	0.8412698412698413	0.25510204081632654	0.34958386009270964	0.07732646834477498	0.2345132743362832	0.22108843537414963	0.2345132743362832
2	2023-09-05 19:44:14.886175	e16e76dc94a71adb62962e94f115cb885effc592e2dfe903251ac1f33280a961	2023-09-05 19:42:52.793205	medical	estimators.cascade_weak_label_tree_embedder_pvalue	embedding_weak_chi2	76.79871821403503	3.6842901706695557	0.17857142857142858	0.09423238547496562	0.35664335664335667	0.2260204081632653	0.2618420813939611	0.069633556332641	0.2170212765957447	0.21258503401360543	0.22058087198183815	0.17426900584795324	0.8360655737704918	0.2389455782312925	0.387358024691358	0.07472152006660447	0.22666666666666666	0.22874149659863943	0.22666666666666666
3	2023-09-05 19:44:14.886175	e16e76dc94a71adb62962e94f115cb885effc592e2dfe903251ac1f33280a961	2023-09-05 19:42:52.793205	medical	estimators.cascade_weak_label_tree_embedder_pvalue	embedding_weak_chi2	70.72388982772827	5.787714242935181	0.18556701030927836	0.13620968070510503	0.3703703703703704	0.236254295532646	0.3036519234078747	0.09169799498746867	0.22727272727272727	0.21305841924398622	0.22595447870778265	0.34104010025062653	0.7857142857142857	0.25773195876288657	0.6470369204950703	0.10253235118148118	0.2422907488986784	0.23711340206185566	0.2422907488986784
4	2023-09-05 19:44:14.886175	e16e76dc94a71adb62962e94f115cb885effc592e2dfe903251ac1f33280a961	2023-09-05 19:42:52.793205	medical	estimators.cascade_weak_label_tree_embedder_pvalue	embedding_weak_chi2	76.46979904174805	3.497919797897339	0.21428571428571427	0.1088862977407869	0.3862068965517242	0.2372448979591837	0.27540462186743603	0.08106630211893369	0.23931623931623933	0.2159863945578231	0.23474073650285102	0.19083422842821338	0.8888888888888888	0.27040816326530615	0.38547753903323445	0.09016079363646394	0.24669603524229075	0.22619047619047616	0.24669603524229075
0	2023-09-05 19:44:40.065840	ae1bed0168b264020d1a4e850e591d081e3c53a061bbeb80cfbf37811bc407e9	2023-09-05 19:44:14.958133	medical	estimators.cascade_weak_label_proba	proba_weak	19.95668077468872	3.9135942459106445	0.1836734693877551	0.19740180998762233	0.38636363636363635	0.2583333333333333	0.33152747842602914	0.13475098565126267	0.23943661971830985	0.22704081632653061	0.25128221789040506	0.250187969924812	0.5354330708661418	0.26403061224489793	0.43284126984126986	0.20766111512031377	0.3022222222222222	0.28911564625850344	0.3022222222222222
1	2023-09-05 19:44:40.065840	ae1bed0168b264020d1a4e850e591d081e3c53a061bbeb80cfbf37811bc407e9	2023-09-05 19:44:14.958133	medical	estimators.cascade_weak_label_proba	proba_weak	20.23234462738037	3.930765151977539	0.1989795918367347	0.17842403988297992	0.3829787234042553	0.2549319727891156	0.31191748824051485	0.12156847226425195	0.23684210526315788	0.22755102040816327	0.24922968196010992	0.27368421052631575	0.5943396226415094	0.2679421768707483	0.42286995515695064	0.16970519136606527	0.2825112107623318	0.27891156462585037	0.2825112107623318
2	2023-09-05 19:44:40.065840	ae1bed0168b264020d1a4e850e591d081e3c53a061bbeb80cfbf37811bc407e9	2023-09-05 19:44:14.958133	medical	estimators.cascade_weak_label_proba	proba_weak	20.767072439193726	3.979943037033081	0.17857142857142858	0.258117069794977	0.39204545454545453	0.261734693877551	0.3803831126166429	0.16579865782652162	0.24381625441696114	0.22704081632653061	0.2659801338820947	0.38462332301341595	0.5433070866141733	0.266156462585034	0.6323554310613134	0.24880956949844305	0.30666666666666664	0.29846938775510207	0.30666666666666664
3	2023-09-05 19:44:40.065840	ae1bed0168b264020d1a4e850e591d081e3c53a061bbeb80cfbf37811bc407e9	2023-09-05 19:44:14.958133	medical	estimators.cascade_weak_label_proba	proba_weak	20.102545022964478	3.8874080181121826	0.20103092783505155	0.14196298509830543	0.36721311475409835	0.24742268041237114	0.3034685765973128	0.09840619550905662	0.2248995983935743	0.22938144329896906	0.2292107702891426	0.3306303549571603	0.7368421052631579	0.2654639175257732	0.5550294505940896	0.1036853910137663	0.2445414847161572	0.24742268041237114	0.2445414847161572
